,smiles
0,!CCCN(C\C=C\c1ccc(cc1)C(C)(C)C)S(=O)(=O)c1ccc(cc1)C(O)=O~C#N)C(O)=O~~C)=O~~C)C~~)C(O)=O~~)=O~~1ccccc1~C(O)=O~~[nH]c2=O~=O~(CC)=O~~)C(O)=O~
1,!CCCOC(=O)c1cn2nc(CC(C)C)sc2n1~~C)C~~C)C~)OC~~C)C~OC~1CC1~)N=O~N1CCCC1~=O~OC~~)C1~~C)no1~=O~OCC)c1C~C)C~~~cccc1~)OC~=O~c1ccccc1~OCC~~~~
2,!N#Cc1ccc(N2CCN(C(=O)c3cccc(-n4cnnn4)c3)CC2)cc1~~(F)(F)F)C(F)(F)F~N)C(F)(F)F~(F)F~(F)F~F~1~(F)cccc1F~cccc1F~c1ccc(F)cc1F~cc(C(O)=O)c1~~
3,!CNc1nc(CCn2ccc3ccccc32)nc(-c2ccccc2)n1~~C)=O~~#N)S(C)(=O)=O~~C)C~O~(C)=O~~C)OP(=O)(O)O~~C~C(=O)O)C(=O)O~~C)(C)C~~C~cccc2)c1~~C~~C)C~~~
4,!Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)Nc3ncccn3)cc2)cc1~~C)(C)C~(=O)O~(C)(C)C~1OC(=O)c2cc(O)cc(O)c2-c2c(O)cc(C)cc2O)C1O~(=O)c1cc(O)cc(O)c1~~~~~~
5,!O=C1CC(C2N=CC=CC2c2ccccc2)CN1Cc1ccco1~~CO)c1ccco1~~(O)=Nc1ccccc1C(F)(F)F~c1ccccc1C(=O)O~c1ccc2nc(NCCOCCO)oc2c1~~1CCOCC1~~co1~~)CO~~~~~
6,!CCc1nc(N2CCCCC2)sc1COC~1COC(C)(C)O1~1ccccc1C#N~1ccccc1~(=O)O~~C)c1~O~1ccccc1C(=O)O)C(=O)O~C1OC(C)C(O)C(O)C1O~c2ccccc21~~~C)CO~~~~~~~~~
7,!CCCCCc1cc(O)c2c(c1)OC(C)(C)CC2N=C(S)NCc1ccccc1~~(C)C~(C)C)c1ccccc1~~(O)=O~~c1ccccc1O~~(O)=O~~1OC)C(O)=O~[S+]([O-])O~1~cccc1~~c2C~~(C)C~~Cl~~~
8,!CCCCc1ncc(/C=C/[N+](=O)[O-])n1Cc1ccc(C(=O)O)cc1~~=O)O~~~c1ccccc1C)[N+](=O)[O-]~C~)(C)C~~C)CCCC~CCCC~~)OC(C)=O~OC(C)=O~2cccc(CCCC)c2~~)cc1OC~C~~C~~
9,!CN(CCCN1CCCC1)c1ccc(N)c2ncncc12~1CC1~1ccccc1)C(F)(F)F~O)=O~~2~~~CN)c1~~~~)C#N~1cncc(C)c1~~~)=O~~(O)c2C~2)c1~~~)=O~~2~CCCCC2~C1(C)C~2~~
10,!Cc1c(NS(=O)(=O)c2ccc(-c3ccc(C(C)C)cc3)cc2)c(CC(C)C)nn1C~(=O)O~(C)C~(C)C~(C)C~N)C(C)C~(C)C~(C)C~~(C)C)c1ccc(O)c(O)c1~~~[Na+]~)=O~~~~~~~~~~~
11,!COc1ccc(-c2noc(N3CCCC4(CCN(c5ccccc5OC)C3=O)CC4)n2)cc1~~~(C)C)C(F)(F)F~C)C(=O)O~~OC)C(C)C~~~(Cl)c1Cl~(Cl)cc(OC)c1~c(OC)c(C(F)(F)F)c(Cl)c1~~
12,!CN1CC[C@@H](C(=O)N[C@@H](CCCCCC(=O)c2ncco2)c2ncc(-c3cc4ccccc4cn3)[nH]2)C1~~=O)O~c1ccccc1~~~(=O)O)c1ccccn1~~)=O~~(=O)[O-].[Na+]~CCCCCC=CC(Cl)C(=O)O~(C)(C)C~
13,!Cc1ccc(/C=C/C(=O)OCC(=O)NCCc2ccc(Cl)cc2)cc1~~C)C~~)NC(=O)OC(C)(C)C~1CCCCC1~~cccc1~)c1ccccc1~~~)=O~~c1ccc(C(F)(F)F)cc1~~cccc1~~ccccc1~~~
14,!N#Cc1cc(NC(=O)NCC2(c3ccccc3F)CC2)ccc1F~1CCOCC1~F)F~c1ccc(C(=O)O)cn1~~F)c1ncnc(N)c1F~F~(F)F~F)I~~(N)n1~~F)Cl~(F)F~~c2ccc(C(=O)O)cc2F~[Cl-]~~
15,!COC(=O)c1sc(NC(=O)Cc2ccc(F)cc2)nc1C1CC1~~)Cl~Cl)Cl~Cl~Cl~)Cl~n1nncc1-c1ccccc1~.Cl~Cl~(Cl)[O-]~O~O)c1ccccc1~(Cl)=O~#N(C)C~OC~2)C(=O)OC~~O~[Na+].[Cl-]~[Cl-]~[Cl-]~[Na+]~
16,!CC1=C(C)C(=O)O[C@@H]([C@](C)(O)[C@]2(O)CC[C@@]3(O)[C@@H]4[C@@H](O)c5c(cc(-c6ccc(O)c(O)c6)oc5=O)O[C@]4(C)[C@@H](O)C[C@]23C)C1~~C)=O~C(=O)O~1ccccc1~~c1cccs1~~ccc2/c1=O~~~~~
17,!CC(C)=CCNC(=O)c1cccc(NC(=O)C2CC2)c1~~F)(F)F~(F)(F)F~CCN)c1~~~[nH]c1nccnc11~cccc1~2~([O-])=O)c1nnn[nH]1~~c(Cl)c(Cl)cc1Cl~(C)(C)Cl~~(C)(C)C~(C)(C)C~~
18,!Cc1ccc(CNCCCN2CCN(c3nsc4ccccc34)CC2)cc1~.Cl.Cl.Cl~~)c(NC(=O)CCCCCCC(=O)NCc2ccccc2/N=N/c2cccc3ccccc23)c1~=O~N1CCCC1~ccc2ccccc21~cccc1~Cl~~~
19,!C[C@H](Oc1nc(C(=O)NC(C)(C)c2nnn(C)n2)c(Cl)cc1N)C(F)(F)F~1CC1~~)F~1ccccn1~~~nn1)N(C)C~O)CO~1ccccc1~~(=O)O~O)c2ccccc12~~c1ccc(F)cc1~O~~~)O~~~
20,!CCOC(=O)c1cnc(CC)nc1N(C)CCC#N~~)C~C)C~C)(C)C~~~S(=O)(=O)O~1)C(=O)OCC~C)(C)C~~)S(=O)(=O)c1ccccc1~~#N~1ccccc1~)C(C)=O~~#N~OCC#CCO~OCCO~~
21,!CCCNC(=S)SC1=NCN(c2cccnc2)CN1~~c1ccc(C)cc1)c1ccc(C)cc1~~~)c~~~~~~)n1ccnc1~~~)cc1ccc(O)cc1~~~1ccc(O)cc1)o1~cccc1C(=O)OCC~~c2ccc(OC)cc2~
22,!Cc1cc(C(=O)N2CCN(C(c3ccccc3)c3ccccc3)CC2)c(C(C)C)o1~~=O)O~(C)C~C~CN1C(=O)c2ccccc2C1=O)C(C)C~CCN1C(=O)c2ccccc2C1=O~~(C)C~(C)C~O~1O~O~~~
23,!Cc1cccc(Oc2nc(NC3CC3)n3ncc(/C=C4\NC(=O)NC4=O)c3n2)c1~~~1nc2ccccc2s1)N1CCN(C)CC1~~~)ncn1C~(C)(C)C~C#N~c1ccccc1~C#N~.Cl.Cl~Cl~O~2~(Cl)(Cl)C2~
24,!COc1c(C)cccc1C1CNCCO1~(=O)c1cc(cs1)-c1cnn2ccccc12~~)=O~~C#N)c1nc2ccccc2[nH]1~~1CCCCC1~~cccc1~C(O)=O)C(O)=O~~[C@@H]1CCCO1~cccc1~C~(C)(C)C~(C)C~
25,!COc1ccc(CN2CC3(CCN(c4ccccn4)C3)CC2=O)cc1~F~OC)C1CC1~.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F~(=O)O~[Br-]~(=O)O)C1~2ccccc2C(=O)c2ccccc21~(=O)O~~([H])O~
26,!COc1ccc(Cn2c(C)nc3cc(N)ccc3c2=O)cc1~~=O)NC(CCC(=O)O)C(=O)O~~~)CCl~c1ccccc1~~(Cl)c1ccc(OC)cc1~OC~1ccccc1)c1ccccc1OC~c1ccccc1~~(Cl)=O~~~~~~
27,!COc1ccc(NC(=O)NCC2CC2C)c(OC)c1~OC)c1ccnn1C~~1cccc(OC)c1~)C1CC1~~NC1CC1~~C)C~2C(=O)O~2~2c(C)c(C)oc2C(=O)OCc2cc3OCO2~3OC)c(C)c1~~~~)O~~~
28,!COc1ccc(CNC[C@@H](O)[C@H](Cc2ccccc2)NC(=O)c2cc(cc(c2)C(=O)N[C@H](C)c2ccccc2)N(C)S(C)(=O)=O)cc1~~C)c1ccccc1~~~(C)=O)N1CCOCC1~~cccc1)C(F)(F)F~~~~C~~~
29,!CCOc1cc2OC3(CCN(CC3)[C@H](C)c3ccc4OCC(=O)Nc4c3)CCc2cc1OC~~)C~~~~~~~)C(F)(F)F~1CC1)C(O)=O~c1nc2c(F)cccc2o1~~c1ccccc1~C~noc(Cl)n1~~no[n+]1[O-]~[O-]~~~
30,!CCCN(CCC)C(=O)c1cc(C(=O)NC(Cc2ccccc2)C(O)CNC2CC2)cc(N2CCCCS2(=O)=O)c1~C~)N(C)S(C)(=O)=O~~C)C~~)C~~c1ccccc1~~~)c1ccccc1~(F)(F)F~~~~~(C~
31,!Cc1ccccc1CC(=O)N(C)CC(=O)NC(C)C~~1ccccc1)c1ccccc1~~~)C(=O)CCc1ccccc1~~~(F)(F)F~(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F~~1~ccc1=O~~~~~~~~~~
32,!Cl.CCc1sc2ccccc2c1-c1ccc(\C=C\C(=O)OCc2ccco2)o1~=O)cc1CCCN1CCN(C)CC1~~)C~~~COC)CC1~~ccc1OC~~)=O~~1c(CC)nc(C)nc1OC~C)C~~cccc1OC~1cccc2~~
33,!C[C@@H]1CN(C(=O)c2cc(COc3ccc4c(c3)OCO4)on2)C[C@H](C)O1~~~)C1CC1~~1ccc(F)cc1~#N)S(C)(=O)=O~~~)=O~~F~c2ccc(OCC3(CC3)OCCO3)cc2)c1~~O~~O)OCCO~~~~Br~
34,!COCCOc1cc(C)nc(N2CCOCC2)n1~~C)OC(C)=O~~C)=O~~C)C~~)=O~~~~)C~C~~~(C)C~[C@@H](C)C(=O)Nc2cccnc2)c1O~CCOC~~c2ccccc2)c1C(=O)O~C~(C)C~~~OCCOCCOC~
35,!Cc1cc(Cl)c2cc(C(=O)NC3(c4noc(C)n4)CCCC3)n(C)c2c1~~n1cc(C)c(=O)[nH]c1=O)C(F)(F)F~~(C)(C)O~c1scnc1C~~n1cccc1N)C#N~Cc1ccccc1~~c1ccc(S(=O)[O-]~[O-]~
36,!CCCCCCCCCCCCCCCCN(CC)CCC=C(c1ccc(F)cc1)c1cccc(NS(N)(=O)=O)c1~~O)=O~~~CCCC~1ccccc1)C(=O)NCC(O)=O~[C@@H](O)C(O)=O~(C)C(O)=O~2~=O~~1~C~~~=N~~~
37,!Cc1ccc(F)c(OCC(O)CSc2nnnn2C2CC2)c1~~1CC1)C(C)C~=O)OCCCC(=O)N1CCN(C2CCC2)CC1~~~)C(=O)N2CCC1CC2~~=O)O~C[C@H]1O~n2c(=O)[nH]c3ccccc3c21~~~~)CO~~~
38,!Cc1onc(-c2c(F)cccc2Cl)c1NC(=O)Nc1ccc(F)cc1~1CC1~N(C)C)C(=O)O~(c1ccccc1)c1ccccc1~~~cc1ccccc1~)S(C)(=O)=O~C(=O)Oc1ccccc1~(=O)O~(C)(C)C~~~
39,!Cc1nc(-c2cccc(NC(=O)Cn3cc(Br)cn3)c2)oc1C~C)(C)C~(=O)O~(C)(C)C~~)C~.Cl~Cl~=N(Cl)C(Cl)(Cl)Cl)Cl~Cl~Cl~)=O~~Cl~(Cl)Cl)n1~~Cl~(Cl)(Cl)Cl)C(Cl)=O~~~~(Cl)Cl~~Cl~
40,!COC(=O)c1ccccc1CS(=O)(=O)c1ccccc1~#N~n1nnc2ccccc21)S(=O)(=O)c1ccc(C)cc1~~~)=O~~)cc1~~~)O~)=O~~)OC~~(C)=O~~)=O~C~~c2ccccc2OC)c1~~~~~~~~
41,!NC(=O)c1cccc2CN(CCc12)c1cn[nH]c(=O)c1C(F)(F)F~F)c1ccc(Cl)cc1~(F)(F)F~C#N~1cc(cc(CO)c1)C(O)=O~~O)=O~~1O)C(O)=O~~(O)=O~~O)=O~~=O~~~=O~~(O)O~
42,!Cc1ccc(CC(=O)NCC(=O)C(C#N)c2nc(C)cs2)cc1~~~)F~c1ccccc1F~~)c1ccccc1~~~)n1ncc2c(N)ncnc12~~C)(C)C~~~)O~=O~N(C)C~)C~1.Cl~Cl~Cl~(Cl)Cl~[P+](Cl)Cl~~[Cl-]~
43,!OCC#Cc1cccc2nc(NCCN3CCOCC3)n(-c3cccc(Cl)c3)c(=O)c12~NO)c2nc3ccccc3n12~~O)OCC=C~~O)OCOC(=O)c1ccccc1~O~2oc(=O)c2OCOCO~(=O)c1ccccc1O~O~O~~
44,!CC1(C)[C@H]2CC=C(C[N+](C)(C)Cc3ccc(-c4cccc(C(F)(F)F)c4)cc3)[C@@H]1C2.[I-]~Cl~Cl)=C([O-])O~(C(=O)[O-])C(F)(F)F~(Cl)C(F)(F)F~1([H])[H]~([H])([H])Cn1cc(C(F)(F)F)nn1.[Na+]~Cl~
45,![O-][N+](=O)c1ccccc1NC(=O)Cn1cnc(-c2cc3occc3n2Cc2ccccc2)c1~#N)c(F)n2ccnc12~c1nnn[nH]1~~c2ccccc2)c1C=O~~#N)c1ccccc1~(=O)NCCCN1CCOCC1~~cccc1~~O~~
46,!Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(cc3)C(F)(F)F)C2)nnc1-c1ccc(CN2CCCC2)cn1~~~1ccccc1~)c1ccccc1~(F)ccc1~~ccnc1)C(O)=O~CN1CCCC(O)C1~~cccc1~~~~O~~~
47,!COc1cc(-c2cc(Cl)ccc2C(=O)Nc2ccccc2C(=O)Nc2cc(C(=O)NC(CCC(=O)O)C(=O)O)cc(C(=O)O)c2)cc(C(=O)Nc2ccc(C(=O)Nc3cc(Cl)ccc3F)cc2)c1~~(C)(C)C~~~~
48,!COC(=O)CC1CC2c3cc(NC(=O)C(C)C)ccc3CCN2C(=S)C1~1CCCC1~)N(C)C~1ccccc1~~~)c1ccccc1~~~(C)=NOCc1ccccc1~OCc1ccccc1C#N~~cc(C(=O)[O-])cc1OC~.[Na+].[Na+]~
49,!NC(=O)C1CCN(C(=O)CN2CCCCC2)c2ccccc21~~c1ccccc1)c1ccccc1~(=O)O~C1CCCCC1~~Cc2ccc(O)cc2)NC1=O~C(=O)O~1ccccc1~c1ccccc1~~cccc1~cccc1~~.O~~~
50,!COc1cc(Cc2cnc(N)nc2N)cc(OCCCCOc2ccc(OC(F)(F)F)cc2)c1OC~C)C~C)C~(C)C~(N)=O~~)C(=O)O~~c1ccccc1~C(F)(F)F~2~(=O)O~OC(C)(C)C~1C~O~.O~~~=O~~
51,!CC(C)(C)C(=O)NCCN1C(CO)C(O)C(O)C1CO~1ccccc1~~(C)(C)C)C(F)(F)F~1CC1~~(O)C(F)(F)C(F)(F)C(F)(F)F~(F)F~1~CCCCC1~)=NO~(CF)CF~~~~[Cl-]~[Na+]~~=O~CO~
52,!C(CN1Cc2ccccc2C1)COc1ccc(cc1)-n1cnnn1~~c1ccccc1)-c1ccccc1~ccc1~Cn1ccnc1~~ccc1)n1ccnc1~~c1ccccc1~~c1ccccc1~)c1ccccc1~~)cc1~~~~)cc1~~~~~
53,!Cc1nc2ccccc2n1CC(O)CN1CCCN(S(=O)(=O)c2ccc(F)cc2)c2ccccc21~~)C(=O)N(C)C~~)C~(C)C~(C)C~(C)C~CC(F)(F)C(C)C)C1=O~CCC(N)=O~(F)(F)F~1~~O~~~~
54,!CCN(CC)c1ncnc2c1ncn2C1CN(Cc2cccs2)CC(CO)O1~N[N+](=O)[O-])OC~~~N)=O~c1cccs1~~~(F)(F)F~(F)F~1~C~s1)=NOC~n1ccnc1~~~(C)C)c2~~c1ccccc1~~~CC~~~~~~
55,!Cc1oc(-c2cccs2)nc1CC(=O)N1CCCC(C(N)=O)C1~~)C~~C(C)C)C(=O)O~~C)C~(C)C~(C)C~(C)O~(C)C~(O)C1~~cs1~=O)o2~~~)=O~CO~o1~c(OCCO)c(C(F)(F)F~~~~
56,!CCCn1nc(C(=O)Nc2cccc(C(=O)OC)c2)ccc1=O~~CC)c1ccc(C)cc1C~~)=O~C(=O)O~~~)Cn1c(C)cc(=O)[nH]c1=O~~c1cccc(OC)c1)-c1ccccc1~~~ccc1OCCS(=O)(=O)c~
57,!O=C(NCC1CC12CCOC2)Nc1ccn(-c2ncccc2Cl)n1~~c1ccccc1)c1ccccc1~=O)cc1~(=O)OCC1CC1~~cccc1~~c1ccccc1)c1ccccc1~~.O=C(O)C(=O)O~OC(=O)c1ccccc1~~
58,!CC[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43CN3CC[C@@]4(C[C@@H]5C[C@H]5O4)C[C@H]3C=C(C)C)[C@@H]1CC[C@@H]2O~1ccc2ccccc2c1~~~(F)(F)F)c1cc(-c2ccccc2)nn1C~OC~1ccccc1~(=O)O~~2~~CC)=O~
59,!O=C1N=C(O)C(=Cc2ccc(OCCCC3CCCCC3)cc2F)S1~~c1ccccc1)c1nnn[nH]1~~c1ccccc1~(=O)O~(c1ccccc1)c1ccccc1~~cccc1)c1ccccc1~(=O)O~c(O)c2c1~(=O)OCCO~
60,!C#CCN1CCC(C(=O)N(Cc2cccc(Cl)c2)C2CC2)CC1~~)C~~C)C~~)OC~=O)N1CCCC1~~~)OC~~)C(C)OC~C~(C)C1)C(C)C~O~#N~n1cnc2c(=O)[nH]cnc21~)C(C)C~~cccc1~~~~
61,!O=C(Cc1cccs1)N1CCN(c2ccc3c(c2)OCCO3)CC1~c1ccccc1~~c1ccccc1)c1ccccc1~~cnc2ccc(cc12)N1CCOCC1~~cccc1)c1nc2ccccc2[nH]1~~c1ccccc1~cccc1~~c1cc~
62,!COC(=O)[C@@H]1CCC[C@@H](C1)NC(=O)CC(C)C~1ccccc1~~=O)NCc1cccc(OC)c1~~1CCCCC1=O~~1ccccn1)SC~=O)CNC(=O)CNC(=O)c1cccc(Cl)c1~~~c2ccc(Cl)cc2)c1~C~~C)=O~
63,!NS(=O)(=O)c1ccc(CNC(=O)c2ccc(N3CCN(c4ccccn4)CC3)cc2)cc1~(F)c1ccccc1Cl~(F)(F)F~F~F)Cl~1~C1~~cccc1)C#N~1ccncc1~~ccccc1~~cccc1)=O~~=O~~[Br-]~~~
