,smiles
0,N#Cc1cc(NC(=O)NCC2(c3ccccc3F)CC2)ccc1F
1,CC(C)=CCNC(=O)c1cccc(NC(=O)C2CC2)c1
2,Cc1ccc(CNCCCN2CCN(c3nsc4ccccc34)CC2)cc1
3,Cc1nc(-c2cccc(NC(=O)Cn3cc(Br)cn3)c2)oc1C
4,CN(CCCN1CCCC1)c1ccc(N)c2ncncc12
5,CCOc1cc2c(cc1OC)CCC1(CCN([C@H](C)c3ccc4c(c3)NC(=O)CO4)CC1)O2
6,Cc1ccc(F)c(OCC(O)CSc2nnnn2C2CC2)c1
7,C[C@@H]1CN(C(=O)c2cc(COc3ccc4c(c3)OCO4)on2)C[C@H](C)O1
8,CCc1nc(N2CCCCC2)sc1COC
9,O=c1c2c(C#CCO)cccc2nc(NCCN2CCOCC2)n1-c1cccc(Cl)c1
10,CC1(C)[C@H]2CC=C(C[N+](C)(C)Cc3ccc(-c4cccc(C(F)(F)F)c4)cc3)[C@@H]1C2.[I-]
11,Cc1onc(-c2c(F)cccc2Cl)c1NC(=O)Nc1ccc(F)cc1
12,c1ccc2c(c1)CN(CCCOc1ccc(-n3cnnn3)cc1)C2
13,NC(=O)C1CCN(C(=O)CN2CCCCC2)c2ccccc21
14,COc1ccc(NC(=O)NCC2CC2C)c(OC)c1
15,Cc1cc(C(=O)N2CCN(C(c3ccccc3)c3ccccc3)CC2)c(C(C)C)o1
16,COc1ccc(-c2noc(N3CCCC4(CCN(c5ccccc5OC)C3=O)CC4)n2)cc1
17,COc1c(C)cccc1C1CNCCO1
18,Cc1cc(Cl)c2cc(C(=O)NC3(c4noc(C)n4)CCCC3)n(C)c2c1
19,COc1ccc(CN2CC3(CCN(c4ccccn4)C3)CC2=O)cc1
20,COCCOc1cc(C)nc(N2CCOCC2)n1
21,Cc1cccc(Oc2nc(NC3CC3)n3ncc(/C=C4\NC(=O)NC4=O)c3n2)c1
22,Cc1ccccc1CC(=O)N(C)CC(=O)NC(C)C
23,CNc1nc(CCn2ccc3ccccc32)nc(-c2ccccc2)n1
24,COc1ccc(Cn2c(C)nc3cc(N)ccc3c2=O)cc1
25,C[C@H](Oc1nc(C(=O)NC(C)(C)c2nnn(C)n2)c(Cl)cc1N)C(F)(F)F
26,O=C(NCC1CC12CCOC2)Nc1ccn(-c2ncccc2Cl)n1
27,N#Cc1ccc(N2CCN(C(=O)c3cccc(-n4cnnn4)c3)CC2)cc1
28,NC(=O)c1cccc2c1CCN(c1cn[nH]c(=O)c1C(F)(F)F)C2
29,Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)nnc1-c1ccc(CN2CCCC2)cn1
