,smiles
0,[CH]CN(c1cc(F)c(OC)c(F)c1)c1nncc2ccccc12
1,Brc1ccc([C@H](OC[C@H]2C[C@H]3CC[C@@H](C2)[N+]3)c2ccccc2)cc1
2,[CH]C1CCN(Cc2nn(CC#N)c(=S)n2N)CC1
3,O=C1[CH][C@@H](C(=O)NC(C(F)(F)F)C(F)(F)F)CN1
4,CCc1nn2c(C)cc(C)nc2c1Cc1ccc(/C=C/CN2C[C@@H]3[C@H](O)C[C@H]4[CH][C@]3(CO4)C2)cc1
5,CC(C)=CCC[C@](C)(O)[C@H]1C[CH]C(CCCC(C)C)=CC1
6,CN1C(=O)[C@@H](CN2CCCCC2)[CH][C@H]1c1ccccc1
7,FC(F)(F)[C@@]1(OCCc2ccccc2)C[CH]CCC1
8,C[C@]1(C#N)[C@H](O)CC[C@]2(C)[C]3c4cocc4C[C@@H]3CC[C@@H]12
9,CCO[C@@H]1[CH]CN(C(=O)Nc2cnc3c(c2)c(C)nn3C)CC1
10,CC(C)[CH]c1noc(CNC2(c3nc(C4CC4)no3)CC2)n1
11,CC(=O)N1CC[C@]2(C(=O)NCc3nc(C)no3)CCC[C]12
12,COc1ccccc1N1[CH]CN(c2cncc(NCCc3cnoc3)n2)CC1
13,Cc1c(C(=O)N2CCN([N+]=[N-])CC2)oc2ccccc12
14,CCC(CC)NC(=O)n1[se]c2ccccc2c1=O
15,CC(C)CC(C[Se]C(C)C)=NOC(=O)Nc1ccc(Cl)cc1
16,O=C(c1[se]ccc1-c1cccc(Oc2ccc(F)cc2)c1)N1CCOCC1
17,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](C[Se]c3ccc(Cl)cc3)O2)cc1F
18,COc1ccc(/C=C/c2ccc(-n3[se]c4ccccc4c3=O)cc2)cc1
19,O=c1[nH]c(NC2CCCC2)nc2c1ncn2CC1[Se]C[C@@H](O)[C@H]1O
20,N#C[Se]CCCCNC(=O)c1ccncc1
21,O=c1c2ccccc2[se]n1CC/C=N/O
22,N#C[Se]Cc1ccc(Cl)c(C(F)(F)F)c1
23,Brc1cnc(Sc2[se]nnc2-c2ccc[nH]2)[nH]1
24,O=c1c2ccccc2[se]n1S(=O)(=O)c1c(Cl)cc(Cl)cc1Cl
25,Cc1[se]c(/C=C2\C(=O)Nc3cc(-c4ccc(F)cc4)ccc32)c(C)c1C(=O)N1CCN(CCO)CC1
26,COc1ccc([C@@H]2[Se]C[C@@H](O)[C@H]2O)c2c1CCC(c1ccccc1)O2
27,CC(C)c1ccc(NC(=O)NC(=O)[Se]c2c(C(C)C)[nH]c3ccc(CCNCCCN)cc23)cc1
28,Nc1nc([Se][Se]C(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)ns1
29,CN(C(=O)N1CCc2ccccc21)c1ccc([Se]N2C(=O)CC[C@H]2C(=O)NCc2ccccc2)cc1
30,CSc1ccc(/C=C/S(=O)(=O)Oc2ccc(C3Sc4ccccc4[Se]3)cc2)cc1
31,CC[Se]C(=N)N1CC2(CC(c3ccc(Cl)cc3)C2)C1
32,O=S1(=O)C=Cc2cc(OCc3cn(-c4ccc([PH](F)(F)(F)(F)F)cc4)nn3)ccc2O1
33,C[C@H](/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
34,CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCOC(=O)NS(=O)(=O)N4CCOCC4)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12
35,CC(=CCCC1(C)OCC2=C1C[C@@H](O)[C@H]1[C@@](C)(CCC(O)C(C)(C)O)[C@@H](O)C[C@H](O)[C@]21C)CO
36,CC(C)=CCC[C@](C)(O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3[C@@H](O)C[C@@]12C
37,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)C[C@H](CCCO)C(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
38,CC(C)(O)CCCC(CO)C1CCC2(C)C3C(O)CC4C(C)(C)C(O)CCC45CC35CCC12C
39,C=C1CC23CC[C@H]4[C@@](C)(/C=C/c5cccc(F)c5)[C@@H](OC5OC(CO)C(O)C(O)C5O)CC[C@@]4(C)C2[C@@H](O)[C@@H](O)[C@H]1C3
40,COOCC(C)C1CCC(C)C(C2CC=C3C4CC(O)C5(O)CC(O)C(O)CC5(C)C4CCC32C)O1
41,COc1ccc(/C=C/C(=O)NC[C@@H](C)[C@]2(O)CC[C@H]3[C@@H]4[C@H](O)C[C@@H]5C[C@H](O)CC[C@]5(C)[C@H]4C[C@H](O)[C@@]32C)cc1
42,C[C@H](CC[C@H](O)C(C)(C)O)[C@H]1CC[C@H]2/C(=C/C=C3C[C@@H](O)C(O)C(C)(C)O3)CCC[C@]12C
43,C=C1[C@@H](O)[C@H]2[C@@H](O)C[C@H]3[C@]4(C)CCC[C@](C)(CO)[C@@H]4CC[C@@]23[C@@H]1O
44,O=C(NC1C2CC3CC1CC(O)(C3)C2)c1cnc(NC(CO)CO)nc1C1=CCCC1
45,C[C@]12C[C@@H](COS(N)(=O)=O)[C@@]3(O)[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2c1ccccc1CCCC(F)(F)F
46,CC(CCCNC(=O)NCc1ccccn1)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C
